Back,Back
"Update Status","Update Status"
"Delete contact success.","Delete contact success."
"An error occurred","An error occurred"
"Edit Contactus","Edit Contactus"
Contacts,Contacts
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Status has been updated ","Status has been updated "
"Your Data has not been Saved","Your Data has not been Saved"
Pending,Pending
Processing,Processing
Approved,Approved
"Development Project","Development Project"
"Maintenance Project","Maintenance Project"
"Extension Modules","Extension Modules"
Others,Others
"Could not save the data: %1","Could not save the data: %1"
"Requested user doesn't exist","Requested user doesn't exist"
"Unable to remove data %1","Unable to remove data %1"
"Your Message has been saved ","Your Message has been saved "
"* Required Fields","* Required Fields"
"Project Type","Project Type"
"Contact Name/Occupancy","Contact Name/Occupancy"
"Eguana Commerce","Eguana Commerce"
"Your Name","Your Name"
"Hongil Dong","Hongil Dong"
Email,Email
Eguana@gmail.com,Eguana@gmail.com
Phone,Phone
010-1234-5678,010-1234-5678
Message,Message
"Please tell us more about your project and feel free to share any references.","Please tell us more about your project and feel free to share any references."
"I have read and agree to the privacy policy.<span>(Required)</span>","I have read and agree to the privacy policy.<span>(Required)</span>"
"Go to Privacy Policy Page","Go to Privacy Policy Page"
"Read all","Read all"
"I agree to receive marketing communications.<span>(Optional)</span>","I agree to receive marketing communications.<span>(Optional)</span>"
"Submit your inquiry","Submit your inquiry"
"Contact Us","Contact Us"
"Email Options","Email Options"
"Enable Email","Enable Email"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
Delete,Delete
ID,ID
Name,Name
Status,Status
"Created Date","Created Date"
"Contact Us Information","Contact Us Information"
