Back,Back
"Update Status","Update Status"
"Delete download success.","Delete download success."
"An error occurred","An error occurred"
"Edit Download","Edit Download"
Downloads,Downloads
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Status has been updated ","Status has been updated "
"Your Data has not been Saved","Your Data has not been Saved"
"Could not save the data: %1","Could not save the data: %1"
"Requested user doesn't exist","Requested user doesn't exist"
"Unable to remove data %1","Unable to remove data %1"
"* Required Fields","* Required Fields"
"Contact Name/Occupancy","Contact Name/Occupancy"
"Eguana Commerce","이구아나커머스"
"Your Name","이름"
"Hongil Dong","홍길동"
Email,이메일
Eguana@gmail.com,Eguana@gmail.com
Phone,핸드폰번호
010-1234-5678,010-1234-5678
"I have read and agree to the privacy policy.<span>(Required)</span>","개인정보 수집 및 이용에 동의합니다.<span>(Required)</span>"
"Go to Privacy Policy Page","개인정보취급방침 페이지로 이동"
"Read all","전문보기"
"I agree to receive marketing communications.<span>(Optional)</span>","이구아나커머스 뉴스레터 수신에 동의합니다.<span>(Optional)</span>"
"Submit and Download inquiry","다운로드 받기"
"Thank you for Download","이용해주셔서 감사합니다."
"The download is complete.","다운로드가 완료 되었습니다."
"Invalid response received. Please try again.","준비 중이며, 빠른 시일 내에 찾아 뵙겠습니다."
"The download is not complete.","다운로드에 실패했습니다."
"Sorry, something went wrong. Please try again later.","죄송합니다. 다시 시도해 주세요."
Download,Download
"Download Brochure","Download Brochure"
"Download Options","Download Options"
"Enable Download","Enable Download"
"File Upload","File Upload"
"Download Brochure Information","Download Brochure Information"
"Download Information","Download Information"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
Delete,Delete
ID,ID
Name,Name
"Created Date","Created Date"
