"We can't save the customer.","We can't save the customer."
"Thank you for registering with %1.","Thank you for registering with %1."
"Unspecified OAuth error occurred.","Unspecified OAuth error occurred."
"You are not authorized to view this page.","You are not authorized to view this page."
"We can not save Information.","We can not save Information."
"Login successful.","Login successful."
"Unable to find Social Login User with ID ""%1""","ID가 ""%1"" 인 소셜 로그인 사용자를 찾을 수 없습니다."
"We can not save LINE Information.","LINE정보를 저장할 수 없습니다."
"If you're already a customer, log in.","이미 회원인 경우 로그인하세요."
Email,이메일
Password,비밀번호
"Forgot Your Password?","비밀번호 찾기"
"Sign In","HS 로그인"
"Create an account if you are not a customer","회원이 아닌경우 계정 생성"
"If you log in with your Kakao account, you can use HS Fashion without having to find your ID and password.","Kakao계정으로 로그인 하시면, 아이디, 비밀번호를 찾을 필요 없이 HS Fashion을 이용 하실 수 있습니다."
"Create an Kakao","Kakao 계정으로 회원가입"
"Social Login","간편 로그인"
Kakao,Kakao
Facebook,Facebook
Naver,Naver
"Sign up with Kakao","Kakao 계정으로 회원가입"
"General Setting","기본 설정"
"Enable Module","모듈 활성화"
Enable,활성화
"App ID","App ID"
"App Secret","App Secret"
"OAuth Redirect URI","OAuth Redirect URI"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Sign in with Kakao","카카오 계정 로그인"
"Zip Code","우편번호"
"Welcome to use Facebook and Kakao accounts to quickly log in. After setting, you can directly log in with Facebook and Kakao accounts!","페이스북 및 카카오 계정을 사용하여 빠른 로그인을 환영합니다. 설정 후 페이스북 및 카카오 계정으로 직접 로그인 할 수 있습니다!"
"I am a member of Honeynaps! Login now to complete the binding","이미 가입된 고객입니다."
"Join HoneyNpas member! Complete binding","신규 회원입니다. 허니냅스 회원가입을 하세요."
